                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71005,                0.51163,                      1,                0.68447,               7.14e-05,               7.14e-05,               7.14e-05
                      2,                0.57213,                 0.9186,                      1,                 0.5584,              0.0001351,              0.0001351,              0.0001351
                      3,                0.39288,                0.96512,                      1,                0.45378,             0.00018324,             0.00018324,             0.00018324
                      4,                0.23129,                0.98837,                      1,                0.37262,             0.00021584,             0.00021584,             0.00021584
                      5,                0.14072,                0.98837,                      1,                0.34331,             0.00023288,             0.00023288,             0.00023288
                      6,                0.09458,                      1,                      1,                0.33222,             0.00023437,             0.00023437,             0.00023437
                      7,                0.08137,                      1,                      1,                0.32468,             0.00022031,             0.00022031,             0.00022031
                      8,                0.05429,                      1,                      1,                0.32704,              0.0001907,              0.0001907,              0.0001907
                      9,                0.05722,                      1,                      1,                0.32634,             0.00014554,             0.00014554,             0.00014554
                     10,                0.05257,                      1,                      1,                0.32136,             7.7826e-05,             7.7826e-05,             7.7826e-05
